Name,Type,Citation
Dr Huiwen Zhao,Journal Article,"Xu, J., Tang, Z., Zhao, H. and Zhang, J.J., 2020. Hand Gesture-based Virtual Reality Training Simulator for Collaboration Rescue of a Railway Accident. Interacting with computers (Elsevier)."
Dr Huiwen Zhao,Journal Article,"Zhao, H., McLoughlin, L., Adzhiev, V. and Pasko, A., 2019. ""Why do we not buy mass customised products?"" - An investigation of consumer purchase intention of mass customised products. International Journal of Industrial Engineering and Management, 10 (2), 181-190."
Dr Huiwen Zhao,Journal Article,"Zhao, H., McLoughlin, L., Adzhiev, V. and Pasko, A., 2019. 3D mass customization toolkits design, Part I: Survey and an evaluation model. Computer-Aided Design and Applications, 16 (2), 204-222."
Dr Huiwen Zhao,Journal Article,"Zhao, H., McLoughlin, L., Adzhiev, V. and Pasko, A., 2019. 3D mass customization toolkits design, Part II: Heuristic evaluation of online toolkits. Computer-Aided Design and Applications, 16 (2), 223-242."
Dr Huiwen Zhao,Journal Article,"Zhao, H., Zhang, J.J. and McDougall, S., 2011. Emotion-driven interactive digital storytelling. Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics), 6972 LNCS, 22-27."
Dr Huiwen Zhao,Book,"Zhao, H. and Zhang, J.J., 2012. Web User Experience and Interaction Design. Higher Education Press."
Dr Huiwen Zhao,Conference,"Zhao, H., McLoughlin, L., Adzhiev, V. and Pasko, A., 2018. ""Why do we buy mass customised products?""-consumer's perspective of success factors for online mass customisation. In: 8th International Conference on Mass Customization and Personalization – Community of Europe (MCP - CE 2018) 19-21 September 2018 Novi Sad, Serbia."
Dr Huiwen Zhao,Conference,"Zhao, H., McLoughlin, L., Adzhiev, V. and Pasko, A., 2018. An Evaluation Model For Web-based 3D Mass Customization Toolkit Design. In: 2017 World Mass Customization and Personalization Conference 20-21 November 2017 Aachen, Germany."
Dr Huiwen Zhao,Conference,"Zhao, H., 2013. Emotion in Interactive Storytelling. In: the 8th International Conference on the Foundations of Digital Games 14-17 May 2013 Crete, Grace."
Dr Huiwen Zhao,Conference,"You, L.H., Zhao, H.W., Chaudhry, E., You, X.Y. and Zhang, J.J., 2009. Surface modeling with boundary constraints and partial differential equations. IEEE, 306-311."
Dr Huiwen Zhao,Other,"Zhao, H., 2019. Digital Storytelling: A creator’s guide to interactive entertainment. Higher Education Press. Accepted."
Professor Wen Tang,Journal Article,"Chen, L., Tang, W., Wan, T.R. and John, N., 2020. Self-Supervised Monocular Image Depth Learning and Confidence Estimation. Neurocomputing."
Professor Wen Tang,Journal Article,"Chen, L., Tang, W., John, W.N., Wan, T.R. and Zhang, J.J., 2019. De-smokeGCN: Generative Cooperative Networks for Joint Surgical Smoke Detection and Removal. IEEE transactions on medical imaging."
Professor Wen Tang,Journal Article,"You, X., Tian, F. and Tang, W., 2019. Highly efficient facial blendshape animation with analytical dynamic deformations. Multimedia Tools and Applications, 78 (18), 25569-25590."
Professor Wen Tang,Journal Article,"Gao, Q.H., Wan, T.R., Tang, W. and Chen, L., 2019. Object registration in semi-cluttered and partial-occluded scenes for augmented reality. Multimedia Tools and Applications, 78 (11), 15079-15099."
Professor Wen Tang,Journal Article,"Huang, D., Tang, P., Wang, X., Wan, T.R. and Tang, W., 2019. New haptic syringe device for virtual angiography training. Computers and Graphics (Pergamon), 80, 97-103."
Professor Wen Tang,Journal Article,"You, X., Tian, F. and Tang, W., 2019. C2 Continuous Blending of Time-Dependent Parametric Surfaces. Journal of Computing and Information Science in Engineering."
Professor Wen Tang,Journal Article,"Huang, D., Tang, P., Tang, W. and Wan, T.R., 2019. Angiography simulation and planning using a multi-fluid approach. Applied Sciences (Switzerland), 9 (3)."
Professor Wen Tang,Journal Article,"Chen, L., Tang, W., John, N.W., Wan, T.R. and Zhang, J.J., 2019. Context-Aware Mixed Reality: A Learning-Based Framework for Semantic-Level Interaction. Computer Graphics Forum."
